video_path,sign_id,gloss,hamnosys
Integration-20260706T062240Z-3-001/Integration/a_001_009_000_abbreviate_output.mp4,abbreviate-1,abbreviate,hamsymmlr hamcee12 hamextfingeru hampalmd hamshoulders hamlrbeside hammovei
Integration-20260706T062240Z-3-001/Integration/16cd5705-dc1c-4f32-93f5-8acce2a2e25c_a_001_009_000_abbreviate_output.mp4,abbreviate-1,abbreviate,hamsymmlr hamcee12 hamextfingeru hampalmd hamshoulders hamlrbeside hammovei
Integration-20260706T062240Z-3-001/Integration/47224ba6-7c14-4462-a0de-7e150118471d_a_001_009_000_abbreviate_output.mp4,abbreviate-1,abbreviate,hamsymmlr hamcee12 hamextfingeru hampalmd hamshoulders hamlrbeside hammovei
Integration-20260706T062240Z-3-001/Integration/45a836e6-94e1-4788-86ad-b5f0d7716a53_a_001_009_000_abbreviate_output.mp4,abbreviate-1,abbreviate,hamsymmlr hamcee12 hamextfingeru hampalmd hamshoulders hamlrbeside hammovei
Integration-20260706T062240Z-3-001/Integration/55800fe1-680e-4425-98c8-4ffa458dbb58_a_001_009_000_abbreviate_output.mp4,abbreviate-1,abbreviate,hamsymmlr hamcee12 hamextfingeru hampalmd hamshoulders hamlrbeside hammovei
Integration-20260706T062240Z-3-001/Integration/6e31e76e-21ba-4a77-a682-059f2662ab95_a_001_009_000_abbreviate_output.mp4,abbreviate-1,abbreviate,hamsymmlr hamcee12 hamextfingeru hampalmd hamshoulders hamlrbeside hammovei
Integration-20260706T062240Z-3-001/Integration/7d955966-6098-418b-ad70-2ed54211ac61_a_001_009_000_abbreviate_output.mp4,abbreviate-1,abbreviate,hamsymmlr hamcee12 hamextfingeru hampalmd hamshoulders hamlrbeside hammovei
Integration-20260706T062240Z-3-001/Integration/89391429-b755-4cb8-86db-4dc52ffdb4ba_a_001_009_000_abbreviate_output.mp4,abbreviate-1,abbreviate,hamsymmlr hamcee12 hamextfingeru hampalmd hamshoulders hamlrbeside hammovei
Integration-20260706T062240Z-3-001/Integration/9fe78267-900e-46b5-87f3-8f7134ce38ab_a_001_009_000_abbreviate_output.mp4,abbreviate-1,abbreviate,hamsymmlr hamcee12 hamextfingeru hampalmd hamshoulders hamlrbeside hammovei
Integration-20260706T062240Z-3-001/Integration/b033da44-3c39-43c5-bb3a-c1d4b54f3cf6_a_001_009_000_abbreviate_output.mp4,abbreviate-1,abbreviate,hamsymmlr hamcee12 hamextfingeru hampalmd hamshoulders hamlrbeside hammovei
